Выборы Президента Российской Федерации,,
Дата голосования: 18.03.2018,,
,,
Наименование Избирательной комиссии:    Республика Алтай,,
,,
Итоги голосования,,
,,
,Число территориальных избирательных комиссий,11
,"Число территориальных избирательных комиссий, приступивших к передаче сведений",11
,,
,,
,,
,,
Дата и время подписания протокола 20.03.2018 21:54:00,,
,,
,,
1,"Число избирателей, включенных в список избирателей",158891
2,"Число избирательных бюллетеней, полученных участковой избирательной комиссией",156580
3,"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно",1186
4,"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования",97103
5,"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",4630
6,Число погашенных избирательных бюллетеней,53661
7,Число избирательных бюллетеней в переносных ящиках для голосования,5816
8,Число бюллетеней в стационарных ящиках для голосования,97096
9,Число недействительных избирательных бюллетеней,974
10,Число действительных избирательных бюллетеней,101938
11,Число утраченных избирательных бюллетеней,0
12,"Число избирательных бюллетеней, не учтенных при получении",0
,,
13,Бабурин Сергей Николаевич,446
,,0.43%
14,Грудинин Павел Николаевич,21259
,,20.66%
15,Жириновский Владимир Вольфович,5376
,,5.22%
16,Путин Владимир Владимирович,72674
,,70.62%
17,Собчак Ксения Анатольевна,929
,,0.90%
18,Сурайкин Максим Александрович,431
,,0.42%
19,Титов Борис Юрьевич,340
,,0.33%
20,Явлинский Григорий Алексеевич,483
,,0.47%
